microcosm_ID,species1,species2,composition_code,r_cor,k_cor,cv,cov,cor,eve,var,tot,s,temperature_treatment,min_temperature,max_temperature
M-1,colpidium,loxocephallus,CL,0.193706340186733,0.422009027413733,0.463395254305739,4.10402310193e-4,0.715240308874873,0.764240678795085,0.00248557437009027,0.0620432785091035,0.9,18-22C,18,22
M-3,colpidium,tetrahymena,CT,0.225416892738965,0.0173065189182954,0.449767756227362,-4.39702575077823e-5,-0.653101226442585,0.509119533053383,0.00443114801289969,0.0732633841973937,0.9,18-22C,18,22
M-4,loxocephallus,paramecium,LP,0.910029332120903,0.0584215976497563,0.248091016387502,4.54196907516344e-6,0.0594738882120527,0.83508591415532,1.627022744698e-4,0.0264151522649734,0.9,18-22C,18,22
M-5,loxocephallus,tetrahymena,LT,0.968141236926757,-0.0525354912388168,0.393870316306029,9.47844697908344e-6,0.542910196540331,0.65463546390136,1.7163281200606e-4,0.0175253408190914,0.9,18-22C,18,22
M-6,paramecium,tetrahymena,PT,0.897371168155054,0.0131968041063192,0.368441508385261,-2.27885571432959e-6,-0.344085924208477,0.538552391645998,5.34994309558721e-5,0.00949382155824018,0.9,18-22C,18,22
M-7,colpidium,loxocephallus,CL,0.193706340186733,0.422009027413733,0.480093355553151,2.1286802687994e-4,0.67245045898567,0.71612554347808,0.00345205899612937,0.0648539951695802,0.9,18-22C,18,22
M-9,colpidium,tetrahymena,CT,0.225416892738965,0.0173065189182954,0.455617972102823,-4.03987688786012e-5,-0.65905334788264,0.508788375898327,0.00453318505675971,0.0732260547411325,0.9,18-22C,18,22
M-10,loxocephallus,paramecium,LP,0.910029332120903,0.0584215976497563,0.356539532396628,1.27779671337056e-5,0.188537481529938,0.724970598503912,4.4131718928382e-4,0.030301334145737,0.9,18-22C,18,22
M-11,loxocephallus,tetrahymena,LT,0.968141236926757,-0.0525354912388168,0.393283010078168,5.77400689509658e-6,0.074395757647831,0.590586059173601,5.8756492133464e-4,0.0311185367370549,0.9,18-22C,18,22
M-12,paramecium,tetrahymena,PT,0.897371168155054,0.0131968041063192,0.238338472559516,-1.13620386270653e-6,-0.271002062866095,0.530162902138736,2.39269533589784e-5,0.0097622604553135,0.9,18-22C,18,22
M-13,colpidium,loxocephallus,CL,0.193706340186733,0.422009027413733,0.471911534282906,5.7723987392247e-4,0.735452319737652,0.746828541990897,0.00321404209483007,0.0700287973140917,0.9,18-22C,18,22
M-15,colpidium,tetrahymena,CT,0.225416892738965,0.0173065189182954,0.50164061647877,-2.94341175460469e-5,-0.55084529010162,0.508937212169866,0.00389801691115297,0.0617582209580555,0.9,18-22C,18,22
M-16,loxocephallus,paramecium,LP,0.910029332120903,0.0584215976497563,0.326681405824088,3.41002118023115e-6,0.0544677628234552,0.85610647138485,2.1957131848801e-4,0.0230290229993099,0.9,18-22C,18,22
M-17,loxocephallus,tetrahymena,LT,0.968141236926757,-0.0525354912388168,0.433347120918924,8.34370270649542e-6,0.177359807829198,0.630243139625956,3.8414380898276e-4,0.0231001529825071,0.9,18-22C,18,22
M-18,paramecium,tetrahymena,PT,0.897371168155054,0.0131968041063192,0.314440931846404,6.02799961866476e-7,0.0706343734364352,0.543676698030276,2.59299519037169e-5,0.00828324026195588,0.9,18-22C,18,22
M-19,colpidium,loxocephallus,CL,-0.617921579732885,0.471158011402005,0.503073329315476,5.30426634310457e-5,0.186128172091249,0.786307357030306,0.00173662727889362,0.0426645838752924,0.5,20-24C,20,24
M-21,colpidium,tetrahymena,CT,-0.349380903317846,-0.0693368938650117,0.35388949680727,-1.78088080379781e-5,-0.519119026332474,0.506339805549786,0.00168573215440169,0.057393059464216,0.5,20-24C,20,24
M-22,loxocephallus,paramecium,LP,0.923112582225894,0.159587783628433,0.726992318655593,1.3592674936967e-4,0.310419455138845,0.866451212950081,0.00107094284641366,0.0252025948234546,0.5,20-24C,20,24
M-23,loxocephallus,tetrahymena,LT,0.804505656584566,-0.152719330011204,0.394503062605694,1.55460335322935e-5,0.330369305179694,0.610883405142069,3.4505721097038e-4,0.0245810110230979,0.5,20-24C,20,24
M-24,paramecium,tetrahymena,PT,0.822388846453979,-0.0303854312428284,0.484610110149341,2.57301407686533e-6,0.103149653885654,0.539078946001065,1.9618523833842e-4,0.0146397326844185,0.5,20-24C,20,24
M-25,colpidium,loxocephallus,CL,-0.617921579732885,0.471158011402005,0.363229072551868,3.3618432858563e-4,0.592051188640215,0.818687671317316,0.00154833600349476,0.0648686417472773,0.5,20-24C,20,24
M-27,colpidium,tetrahymena,CT,-0.349380903317846,-0.0693368938650117,0.427481682677259,-7.03657069192131e-5,-0.640631651166652,0.515479370845322,0.00369645060654219,0.069745504824856,0.5,20-24C,20,24
M-28,loxocephallus,paramecium,LP,0.923112582225894,0.159587783628433,0.196725814125134,-3.34754697145969e-5,-0.401365099697417,0.857413021349891,1.670749611639e-4,0.0254318407824416,0.5,20-24C,20,24
M-29,loxocephallus,tetrahymena,LT,0.804505656584566,-0.152719330011204,0.373976630336619,7.83357215873317e-6,0.257588111283712,0.645756557661043,1.6729021677664e-4,0.0180842492419541,0.5,20-24C,20,24
M-30,paramecium,tetrahymena,PT,0.822388846453979,-0.0303854312428284,0.342098776538055,-4.24044433741653e-6,-0.307683978632559,0.590499901849163,4.54792108363985e-5,0.00889015838176824,0.5,20-24C,20,24
M-31,colpidium,loxocephallus,CL,-0.617921579732885,0.471158011402005,0.402185966285418,3.2787351049583e-4,0.513256876276403,0.768532843260208,0.00233635651262402,0.0680035211232112,0.5,20-24C,20,24
M-33,colpidium,tetrahymena,CT,-0.349380903317846,-0.0693368938650117,0.52495297777802,-1.95563591593222e-5,-0.506044637388455,0.51210573867762,0.00225070693200584,0.0447921927399021,0.5,20-24C,20,24
M-34,loxocephallus,paramecium,LP,0.923112582225894,0.159587783628433,0.264572602395311,-5.07538756947392e-5,-0.484507287693284,0.853434223333547,2.4849633571636e-4,0.022912207763868,0.5,20-24C,20,24
M-35,loxocephallus,tetrahymena,LT,0.804505656584566,-0.152719330011204,0.497707750926565,3.62815407910164e-5,0.471196376326425,0.621913657886856,5.7708331685546e-4,0.0256055505263401,0.5,20-24C,20,24
M-36,paramecium,tetrahymena,PT,0.822388846453979,-0.0303854312428284,0.430110408658555,-1.70080890284796e-6,-0.0985889631360945,0.547394787864102,9.9663534094855e-5,0.0114055781134296,0.5,20-24C,20,24
M-37,colpidium,loxocephallus,CL,-0.98077191534054,0.850029301689408,0.325614529648433,5.91452860757256e-5,0.213885413055286,0.841385405135038,7.287772409197e-4,0.0446915398280394,0.1,22-26C,22,26
M-39,colpidium,tetrahymena,CT,-0.178747896399509,0.397193737873489,0.45568595309017,-4.3634301876389e-5,-0.6801265337172,0.511986520560738,0.00396446271772261,0.0683224034240946,0.1,22-26C,22,26
M-40,loxocephallus,paramecium,LP,0.841994079143362,-0.340352166834765,0.28169388286727,-4.34269600211391e-5,-0.176146715381187,0.816174805533478,6.5269077451241e-4,0.0422219418796886,0.1,22-26C,22,26
M-41,loxocephallus,tetrahymena,LT,0.133103026948186,0.451712803935648,0.768422034070582,7.68923020744396e-5,0.790053343648054,0.68514443017465,3.9368094880346e-4,0.0152246947486089,0.1,22-26C,22,26
M-42,paramecium,tetrahymena,PT,-0.128470393165418,-0.21242660131754,0.296856545231871,-9.43972529813332e-6,-0.508684235280799,0.55541698272883,9.76264940823214e-5,0.0149465343360802,0.1,22-26C,22,26
M-43,colpidium,loxocephallus,CL,-0.98077191534054,0.850029301689408,0.334660363044698,2.2958236498824e-4,0.493923055225568,0.948177069853193,9.384079922709e-4,0.0558538268365738,0.1,22-26C,22,26
M-45,colpidium,tetrahymena,CT,-0.178747896399509,0.397193737873489,0.457848020471751,-6.90573767380546e-5,-0.529643740015718,0.521443349794146,0.00298171805590665,0.0582348777973788,0.1,22-26C,22,26
M-46,loxocephallus,paramecium,LP,0.841994079143362,-0.340352166834765,0.24524020351966,-8.48631685131889e-5,-0.731114433180042,0.800709822039144,2.6478760484921e-4,0.0198783410535726,0.1,22-26C,22,26
M-47,loxocephallus,tetrahymena,LT,0.133103026948186,0.451712803935648,0.684055110136788,6.53840777633732e-5,0.616052597318563,0.643659689473024,5.9574843754379e-4,0.0197016083573058,0.1,22-26C,22,26
M-48,paramecium,tetrahymena,PT,-0.128470393165418,-0.21242660131754,0.35260059947654,4.94972278578654e-6,0.328258558697001,0.568655108543509,3.26744649825777e-5,0.00925249224363651,0.1,22-26C,22,26
M-49,colpidium,loxocephallus,CL,-0.98077191534054,0.850029301689408,0.345416310105491,5.98627961989863e-7,9.1809373609987e-4,0.86060870278005,0.00131359995913711,0.0524875802385255,0.1,22-26C,22,26
M-51,colpidium,tetrahymena,CT,-0.178747896399509,0.397193737873489,0.451603799995127,-1.729147323064e-4,-0.75379597190482,0.534825125704747,0.00605473144228375,0.0836543848176743,0.1,22-26C,22,26
M-52,loxocephallus,paramecium,LP,0.841994079143362,-0.340352166834765,0.526803957320101,-4.08139683866646e-5,-0.236747114029085,0.702182713028717,5.6072991253804e-4,0.0207747093543257,0.1,22-26C,22,26
M-53,loxocephallus,tetrahymena,LT,0.133103026948186,0.451712803935648,0.38805073926499,3.13748656290301e-5,0.540853584621057,0.661494540996625,1.5567883023421e-4,0.0190430365961575,0.1,22-26C,22,26
M-54,paramecium,tetrahymena,PT,-0.128470393165418,-0.21242660131754,0.404922493324964,-2.79821861715711e-6,-0.105344946886351,0.544350687180065,1.5222922025051e-4,0.0149524941316222,0.1,22-26C,22,26
